
"runs" "filesize" "d_span" "chunk_order" "fsync_bitmap" "sync_bitmap" "number_of_chunks"
"1" 12288 12288 "012" "000" "001" 3
"2" 12288 12288 "012" "001" "001" 3
"3" 12288 12288 "012" "000" "011" 3
"4" 12288 2101248 "012" "001" "011" 3
"5" 12288 2101248 "012" "010" "001" 3
"6" 12288 12288 "012" "011" "001" 3
"7" 12288 2101248 "012" "010" "011" 3
"8" 12288 12288 "012" "011" "011" 3
"9" 12288 16384 "012" "000" "101" 3
"10" 12288 2105344 "012" "001" "101" 3
"11" 12288 12288 "012" "000" "111" 3
"12" 12288 2101248 "012" "001" "111" 3
"13" 12288 2101248 "012" "010" "101" 3
"14" 12288 2105344 "012" "011" "101" 3
"15" 12288 2101248 "012" "010" "111" 3
"16" 12288 2105344 "012" "011" "111" 3
"17" 12288 2105344 "012" "100" "001" 3
"18" 12288 12288 "012" "101" "001" 3
"19" 12288 2105344 "012" "100" "011" 3
"20" 12288 2101248 "012" "101" "011" 3
"21" 12288 2101248 "012" "110" "001" 3
"22" 12288 12288 "012" "111" "001" 3
"23" 12288 2101248 "012" "110" "011" 3
"24" 12288 12288 "012" "111" "011" 3
"25" 12288 2105344 "012" "100" "101" 3
"26" 12288 12288 "012" "101" "101" 3
"27" 12288 2105344 "012" "100" "111" 3
"28" 12288 2101248 "012" "101" "111" 3
"29" 12288 2101248 "012" "110" "101" 3
"30" 12288 12288 "012" "111" "101" 3
"31" 12288 2101248 "012" "110" "111" 3
"32" 12288 12288 "012" "111" "111" 3
"33" 12288 12288 "021" "000" "001" 3
"34" 12288 12288 "021" "001" "001" 3
"35" 12288 2101248 "021" "000" "011" 3
"36" 12288 4198400 "021" "001" "011" 3
"37" 12288 12288 "021" "010" "001" 3
"38" 12288 12288 "021" "011" "001" 3
"39" 12288 12288 "021" "010" "011" 3
"40" 12288 12288 "021" "011" "011" 3
"41" 12288 16384 "021" "000" "101" 3
"42" 12288 2105344 "021" "001" "101" 3
"43" 12288 2101248 "021" "000" "111" 3
"44" 12288 2101248 "021" "001" "111" 3
"45" 12288 4198400 "021" "010" "101" 3
"46" 12288 2105344 "021" "011" "101" 3
"47" 12288 2105344 "021" "010" "111" 3
"48" 12288 2105344 "021" "011" "111" 3
"49" 12288 2105344 "021" "100" "001" 3
"50" 12288 12288 "021" "101" "001" 3
"51" 12288 4198400 "021" "100" "011" 3
"52" 12288 2101248 "021" "101" "011" 3
"53" 12288 2101248 "021" "110" "001" 3
"54" 12288 12288 "021" "111" "001" 3
"55" 12288 2101248 "021" "110" "011" 3
"56" 12288 12288 "021" "111" "011" 3
"57" 12288 2105344 "021" "100" "101" 3
"58" 12288 12288 "021" "101" "101" 3
"59" 12288 4198400 "021" "100" "111" 3
"60" 12288 2101248 "021" "101" "111" 3
"61" 12288 12288 "021" "110" "101" 3
"62" 12288 12288 "021" "111" "101" 3
"63" 12288 12288 "021" "110" "111" 3
"64" 12288 12288 "021" "111" "111" 3
"65" 12288 12288 "102" "000" "001" 3
"66" 12288 12288 "102" "001" "001" 3
"67" 12288 12288 "102" "000" "011" 3
"68" 12288 2101248 "102" "001" "011" 3
"69" 12288 2101248 "102" "010" "001" 3
"70" 12288 12288 "102" "011" "001" 3
